ID,Title,Difficulty,Category,Company Count,Companies,LeetCode Link,Topics
11,Remove Element,EASY,Array,9,Adobe | Amazon | Apple | Bloomberg | Google | Meta | Microsoft | Uber | Yahoo,https://leetcode.com/problems/remove-element,"Array, Two Pointers"
12,Search Insert Position,EASY,Array,9,Adobe | Amazon | Apple | Bloomberg | Google | Meta | Microsoft | Uber | Yahoo,https://leetcode.com/problems/search-insert-position,"Array, Binary Search"
13,Single Number,EASY,Array,9,Amazon | Cisco | Google | Meta | Microsoft | NVIDIA | Palantir | Qualcomm | Yahoo,https://leetcode.com/problems/single-number,"Array, Bit Manipulation"
14,Degree of an Array,EASY,Array,7,ByteDance | IBM | JP Morgan | Oracle | PayPal | Salesforce | Walmart,https://leetcode.com/problems/degree-of-an-array,"Array, Hash Table"
15,Intersection of Two Arrays,EASY,Array,7,Google | IBM | JP Morgan | Linkedln | Microsoft | NVIDIA | PayPal,https://leetcode.com/problems/intersection-of-two-arrays,"Array, Hash Table, Two Pointers, Binary Search, Sorting"
16,Next Greater Element I,EASY,Array,7,Amazon | Bloomberg | Flipkart | Goldman Sachs | Microsoft | Morgan Stanley | Swiggy,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack"
17,Contains Duplicate II,EASY,Array,6,Goldman Sachs | Google | Meta | Microsoft | Netflix | Palantir,https://leetcode.com/problems/contains-duplicate-ii,"Array, Hash Table, Sliding Window"
18,Convert Sorted Array to Binary Search Tree,EASY,Array,6,Adobe | Amazon | Apple | Bloomberg | Meta | Microsoft,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
19,Design HashMap,EASY,Array,6,Apple | Goldman Sachs | Linkedln | NVIDIA | ServiceNow | Snowflake,https://leetcode.com/problems/design-hashmap,"Array, Hash Table, Linked List, Design, Hash Function"
20,Moving Average from Data Stream,EASY,Array,6,Citadel | Google | Linkedln | Meta | Spotify | Tesla,https://leetcode.com/problems/moving-average-from-data-stream,"Array, Design, Queue, Data Stream"
21,Squares of a Sorted Array,EASY,Array,5,Google | Meta | PayPal | Uber | Walmart,https://leetcode.com/problems/squares-of-a-sorted-array,"Array, Two Pointers, Sorting"
22,Can Place Flowers,EASY,Array,4,Atlassian | Cisco | Linkedln | Microsoft,https://leetcode.com/problems/can-place-flowers,"Array, Greedy"
23,Find Pivot Index,EASY,Array,4,IBM | Linkedln | NVIDIA | PayPal,https://leetcode.com/problems/find-pivot-index,"Array, Prefix Sum"
24,Max Consecutive Ones,EASY,Array,4,Bloomberg | Deolite | Google | Microsoft,https://leetcode.com/problems/max-consecutive-ones,Array
25,Minimum Absolute Difference,EASY,Array,4,IBM | JP Morgan | Oracle | PayPal,https://leetcode.com/problems/minimum-absolute-difference,"Array, Sorting"
26,Pascal's Triangle II,EASY,Array,4,Goldman Sachs | Google | Meta | Yahoo,https://leetcode.com/problems/pascals-triangle-ii,"Array, Dynamic Programming"
27,Flood Fill,EASY,Array,3,Amazon | Apple | Palantir,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
28,Kth Missing Positive Number,EASY,Array,3,IBM | Meta | Morgan Stanley,https://leetcode.com/problems/kth-missing-positive-number,"Array, Binary Search"
29,Last Stone Weight,EASY,Array,3,Flipkart | NVIDIA | PayPal,https://leetcode.com/problems/last-stone-weight,"Array, Heap (Priority Queue)"
30,Maximum Difference Between Increasing Elements,EASY,Array,3,Bloomberg | Cisco | Salesforce,https://leetcode.com/problems/maximum-difference-between-increasing-elements,Array
31,Summary Ranges,EASY,Array,3,Bloomberg | Google | Netflix,https://leetcode.com/problems/summary-ranges,Array
32,Assign Cookies,EASY,Array,2,Atlassian | Microsoft,https://leetcode.com/problems/assign-cookies,"Array, Two Pointers, Greedy, Sorting"
33,Calculate Amount Paid in Taxes,EASY,Array,2,Oracle | Snowflake,https://leetcode.com/problems/calculate-amount-paid-in-taxes,"Array, Simulation"
34,Count Number of Pairs With Absolute Difference K,EASY,Array,2,Goldman Sachs | Oracle,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,"Array, Hash Table, Counting"
35,Crawler Log Folder,EASY,Array,2,Atlassian | Flipkart,https://leetcode.com/problems/crawler-log-folder,"Array, String, Stack"
36,Find Winner on a Tic Tac Toe Game,EASY,Array,2,Qualcomm | Tesla,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,"Array, Hash Table, Matrix, Simulation"
37,Find Words That Can Be Formed by Characters,EASY,Array,2,Atlassian | PayPal,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,"Array, Hash Table, String, Counting"
38,Height Checker,EASY,Array,2,IBM | Salesforce,https://leetcode.com/problems/height-checker,"Array, Sorting, Counting Sort"
39,Maximum Product of Three Numbers,EASY,Array,2,Intuit | Salesforce,https://leetcode.com/problems/maximum-product-of-three-numbers,"Array, Math, Sorting"
40,Maximum Product of Two Elements in an Array,EASY,Array,2,Cisco | JP Morgan,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,"Array, Sorting, Heap (Priority Queue)"
41,Maximum Units on a Truck,EASY,Array,2,IBM | JP Morgan,https://leetcode.com/problems/maximum-units-on-a-truck,"Array, Greedy, Sorting"
42,Meeting Rooms,EASY,Array,2,Google | Oracle,https://leetcode.com/problems/meeting-rooms,"Array, Sorting"
43,Missing Ranges,EASY,Array,2,Google | Meta,https://leetcode.com/problems/missing-ranges,Array
44,Odd String Difference,EASY,Array,2,IBM | Visa,https://leetcode.com/problems/odd-string-difference,"Array, Hash Table, String"
45,Range Sum Query - Immutable,EASY,Array,2,Meta | Palantir,https://leetcode.com/problems/range-sum-query-immutable,"Array, Design, Prefix Sum"
46,Sort Integers by The Number of 1 Bits,EASY,Array,2,Goldman Sachs | JP Morgan,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,"Array, Bit Manipulation, Sorting, Counting"
47,Split the Array,EASY,Array,2,Adobe | Visa,https://leetcode.com/problems/split-the-array,"Array, Hash Table, Counting"
48,The Employee That Worked on the Longest Task,EASY,Array,2,IBM | Morgan Stanley,https://leetcode.com/problems/the-employee-that-worked-on-the-longest-task,Array
49,Add to Array-Form of Integer,EASY,Array,1,ByteDance,https://leetcode.com/problems/add-to-array-form-of-integer,"Array, Math"
50,Average Value of Even Numbers That Are Divisible by Three,EASY,Array,1,IBM,https://leetcode.com/problems/average-value-of-even-numbers-that-are-divisible-by-three,"Array, Math"
51,Button with Longest Push Time,EASY,Array,1,JP Morgan,https://leetcode.com/problems/button-with-longest-push-time,Array
52,Check If It Is a Straight Line,EASY,Array,1,Palantir,https://leetcode.com/problems/check-if-it-is-a-straight-line,"Array, Math, Geometry"
53,Check If a Number Is Majority Element in a Sorted Array,EASY,Array,1,Salesforce,https://leetcode.com/problems/check-if-a-number-is-majority-element-in-a-sorted-array,"Array, Binary Search"
54,Check if Array Is Sorted and Rotated,EASY,Array,1,Bloomberg,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Array
55,Count Elements With Maximum Frequency,EASY,Array,1,CRED,https://leetcode.com/problems/count-elements-with-maximum-frequency,"Array, Hash Table, Counting"
56,Count Equal and Divisible Pairs in an Array,EASY,Array,1,Bloomberg,https://leetcode.com/problems/count-equal-and-divisible-pairs-in-an-array,Array
57,Count Good Triplets,EASY,Array,1,Bloomberg,https://leetcode.com/problems/count-good-triplets,"Array, Enumeration"
58,Count Pairs Of Similar Strings,EASY,Array,1,IBM,https://leetcode.com/problems/count-pairs-of-similar-strings,"Array, Hash Table, String, Bit Manipulation, Counting"
59,Count the Number of Vowel Strings in Range,EASY,Array,1,PayPal,https://leetcode.com/problems/count-the-number-of-vowel-strings-in-range,"Array, String, Counting"
60,Create Target Array in the Given Order,EASY,Array,1,Visa,https://leetcode.com/problems/create-target-array-in-the-given-order,"Array, Simulation"
61,Determine if Two Events Have Conflict,EASY,Array,1,Goldman Sachs,https://leetcode.com/problems/determine-if-two-events-have-conflict,"Array, String"
62,Determine the Winner of a Bowling Game,EASY,Array,1,DEShaw,https://leetcode.com/problems/determine-the-winner-of-a-bowling-game,"Array, Simulation"
63,Fair Candy Swap,EASY,Array,1,Swiggy,https://leetcode.com/problems/fair-candy-swap,"Array, Hash Table, Binary Search, Sorting"
64,Find Resultant Array After Removing Anagrams,EASY,Array,1,JP Morgan,https://leetcode.com/problems/find-resultant-array-after-removing-anagrams,"Array, Hash Table, String, Sorting"
65,Find Smallest Letter Greater Than Target,EASY,Array,1,Linkedln,https://leetcode.com/problems/find-smallest-letter-greater-than-target,"Array, Binary Search"
66,Find Subarrays With Equal Sum,EASY,Array,1,Morgan Stanley,https://leetcode.com/problems/find-subarrays-with-equal-sum,"Array, Hash Table"
67,Find Subsequence of Length K With the Largest Sum,EASY,Array,1,Oracle,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,"Array, Hash Table, Sorting, Heap (Priority Queue)"
68,Find Words Containing Character,EASY,Array,1,Google,https://leetcode.com/problems/find-words-containing-character,"Array, String"
69,Find the Array Concatenation Value,EASY,Array,1,IBM,https://leetcode.com/problems/find-the-array-concatenation-value,"Array, Two Pointers, Simulation"
70,Find the Maximum Divisibility Score,EASY,Array,1,DEShaw,https://leetcode.com/problems/find-the-maximum-divisibility-score,Array
71,Find the Width of Columns of a Grid,EASY,Array,1,Atlassian,https://leetcode.com/problems/find-the-width-of-columns-of-a-grid,"Array, Matrix"
72,Flipping an Image,EASY,Array,1,IBM,https://leetcode.com/problems/flipping-an-image,"Array, Two Pointers, Bit Manipulation, Matrix, Simulation"
73,High Five,EASY,Array,1,Goldman Sachs,https://leetcode.com/problems/high-five,"Array, Hash Table, Sorting, Heap (Priority Queue)"
74,Image Smoother,EASY,Array,1,Visa,https://leetcode.com/problems/image-smoother,"Array, Matrix"
75,Island Perimeter,EASY,Array,1,Oracle,https://leetcode.com/problems/island-perimeter,"Array, Depth-First Search, Breadth-First Search, Matrix"
76,Keep Multiplying Found Values by Two,EASY,Array,1,Goldman Sachs,https://leetcode.com/problems/keep-multiplying-found-values-by-two,"Array, Hash Table, Sorting, Simulation"
77,Largest Perimeter Triangle,EASY,Array,1,Tesla,https://leetcode.com/problems/largest-perimeter-triangle,"Array, Math, Greedy, Sorting"
78,Lucky Numbers in a Matrix,EASY,Array,1,Cisco,https://leetcode.com/problems/lucky-numbers-in-a-matrix,"Array, Matrix"
79,Maximum Area of Longest Diagonal Rectangle,EASY,Array,1,Atlassian,https://leetcode.com/problems/maximum-area-of-longest-diagonal-rectangle,Array
80,Maximum Population Year,EASY,Array,1,PayPal,https://leetcode.com/problems/maximum-population-year,"Array, Counting, Prefix Sum"
81,Min Cost Climbing Stairs,EASY,Array,1,Amazon,https://leetcode.com/problems/min-cost-climbing-stairs,"Array, Dynamic Programming"
82,Minimum Cost to Move Chips to The Same Position,EASY,Array,1,Morgan Stanley,https://leetcode.com/problems/minimum-cost-to-move-chips-to-the-same-position,"Array, Math, Greedy"
83,Minimum Operations to Make Columns Strictly Increasing,EASY,Array,1,IBM,https://leetcode.com/problems/minimum-operations-to-make-columns-strictly-increasing,"Array, Greedy, Matrix"
84,Minimum Value to Get Positive Step by Step Sum,EASY,Array,1,Swiggy,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,"Array, Prefix Sum"
85,Number of Students Unable to Eat Lunch,EASY,Array,1,Flipkart,https://leetcode.com/problems/number-of-students-unable-to-eat-lunch,"Array, Stack, Queue, Simulation"
86,Prime In Diagonal,EASY,Array,1,IBM,https://leetcode.com/problems/prime-in-diagonal,"Array, Math, Matrix, Number Theory"
87,Read N Characters Given Read4,EASY,Array,1,Google,https://leetcode.com/problems/read-n-characters-given-read4,"Array, Simulation, Interactive"
88,Relative Sort Array,EASY,Array,1,DEShaw,https://leetcode.com/problems/relative-sort-array,"Array, Hash Table, Sorting, Counting Sort"
89,Set Mismatch,EASY,Array,1,Microsoft,https://leetcode.com/problems/set-mismatch,"Array, Hash Table, Bit Manipulation, Sorting"
90,Shortest Word Distance,EASY,Array,1,Linkedln,https://leetcode.com/problems/shortest-word-distance,"Array, String"
91,Sort Array by Increasing Frequency,EASY,Array,1,Walmart,https://leetcode.com/problems/sort-array-by-increasing-frequency,"Array, Hash Table, Sorting"
92,Split Strings by Separator,EASY,Array,1,Apple,https://leetcode.com/problems/split-strings-by-separator,"Array, String"
93,Sum of All Odd Length Subarrays,EASY,Array,1,Linkedln,https://leetcode.com/problems/sum-of-all-odd-length-subarrays,"Array, Math, Prefix Sum"
94,Sum of All Subset XOR Totals,EASY,Array,1,Microsoft,https://leetcode.com/problems/sum-of-all-subset-xor-totals,"Array, Math, Backtracking, Bit Manipulation, Combinatorics, Enumeration"
95,Take Gifts From the Richest Pile,EASY,Array,1,DEShaw,https://leetcode.com/problems/take-gifts-from-the-richest-pile,"Array, Heap (Priority Queue), Simulation"
96,Third Maximum Number,EASY,Array,1,Goldman Sachs,https://leetcode.com/problems/third-maximum-number,"Array, Sorting"
97,Time Needed to Buy Tickets,EASY,Array,1,Twitter,https://leetcode.com/problems/time-needed-to-buy-tickets,"Array, Queue, Simulation"
98,Toeplitz Matrix,EASY,Array,1,Meta,https://leetcode.com/problems/toeplitz-matrix,"Array, Matrix"
99,Two Furthest Houses With Different Colors,EASY,Array,1,Visa,https://leetcode.com/problems/two-furthest-houses-with-different-colors,"Array, Greedy"
100,Two Sum III - Data structure design,EASY,Array,1,Linkedln,https://leetcode.com/problems/two-sum-iii-data-structure-design,"Array, Hash Table, Two Pointers, Design, Data Stream"
101,Type of Triangle,EASY,Array,1,IBM,https://leetcode.com/problems/type-of-triangle,"Array, Math, Sorting"
102,Unique Email Addresses,EASY,Array,1,Intuit,https://leetcode.com/problems/unique-email-addresses,"Array, Hash Table, String"
103,Unique Number of Occurrences,EASY,Array,1,Bloomberg,https://leetcode.com/problems/unique-number-of-occurrences,"Array, Hash Table"
104,Verifying an Alien Dictionary,EASY,Array,1,Snap,https://leetcode.com/problems/verifying-an-alien-dictionary,"Array, Hash Table, String"
105,Merge Intervals,MEDIUM,Array,36,Adobe | Amazon | Apple | Atlassian | Bloomberg | ByteDance | Cisco | Citadel | DEShaw | Databricks | Deolite | Flipkart | Goldman Sachs | Google | IBM | JP Morgan | Linkedln | Meta | Microsoft | Morgan Stanley | NVIDIA | Netflix | Oracle | Palantir | PayPal | Qualcomm | Salesforce | ServiceNow | Snap | Snowflake | Tesla | Twitter | Uber | Visa | Walmart | Yahoo,https://leetcode.com/problems/merge-intervals,"Array, Sorting"
106,Number of Islands,MEDIUM,Array,31,Amazon | Apple | BlackRock | Bloomberg | ByteDance | Cisco | Citadel | Flipkart | Goldman Sachs | Google | Intel | Intuit | Linkedln | Meta | Microsoft | Morgan Stanley | NVIDIA | Oracle | Palantir | PayPal | Qualcomm | Salesforce | ServiceNow | Snap | Snowflake | Tesla | Twitter | Uber | Visa | Walmart | Zomato,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
107,Maximum Subarray,MEDIUM,Array,29,Adobe | Amazon | Apple | Atlassian | Bloomberg | Cisco | DEShaw | Goldman Sachs | Google | IBM | Intel | JP Morgan | Linkedln | Meta | Microsoft | Morgan Stanley | NVIDIA | Oracle | PayPal | Qualcomm | Salesforce | ServiceNow | Snap | Tesla | Uber | Visa | Walmart | Yahoo | Zomato,https://leetcode.com/problems/maximum-subarray,"Array, Divide and Conquer, Dynamic Programming"
108,Group Anagrams,MEDIUM,Array,28,Adobe | Amazon | Apple | Atlassian | BlackRock | Bloomberg | Cisco | Citadel | Dell | Goldman Sachs | Google | IBM | Intuit | JP Morgan | Meta | Microsoft | Morgan Stanley | NVIDIA | Oracle | PayPal | Salesforce | ServiceNow | Snap | Tesla | Uber | Visa | Walmart | Yahoo,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
109,3Sum,MEDIUM,Array,26,Adobe | Amazon | Apple | Atlassian | Bloomberg | Cisco | Citadel | Flipkart | Goldman Sachs | Google | IBM | Intuit | Meta | Microsoft | Morgan Stanley | NVIDIA | Oracle | PayPal | Salesforce | ServiceNow | Tesla | Uber | Visa | Walmart | Yahoo | Zomato,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
110,Container With Most Water,MEDIUM,Array,26,Adobe | Amazon | Apple | Atlassian | Bloomberg | ByteDance | Citadel | Deolite | Flipkart | Goldman Sachs | Google | Intel | JP Morgan | Meta | Microsoft | NVIDIA | Oracle | PayPal | Salesforce | ServiceNow | Snowflake | Tesla | Uber | Visa | Walmart | Yahoo,https://leetcode.com/problems/container-with-most-water,"Array, Two Pointers, Greedy"
111,Kth Largest Element in an Array,MEDIUM,Array,22,Amazon | Apple | Bloomberg | ByteDance | Deolite | Flipkart | Goldman Sachs | Google | Intuit | JP Morgan | Linkedln | Meta | Microsoft | Morgan Stanley | NVIDIA | Oracle | PayPal | Qualcomm | Salesforce | ServiceNow | Spotify | Walmart,https://leetcode.com/problems/kth-largest-element-in-an-array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect"
112,Rotate Image,MEDIUM,Array,22,Adobe | Amazon | Apple | Bloomberg | Cisco | DEShaw | Flipkart | Goldman Sachs | Google | IBM | Intel | JP Morgan | Meta | Microsoft | NVIDIA | Netflix | Oracle | PayPal | Qualcomm | Uber | Walmart | Yahoo,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
113,Search in Rotated Sorted Array,MEDIUM,Array,22,Adobe | Amazon | Apple | Bloomberg | ByteDance | Flipkart | Goldman Sachs | Google | Linkedln | Meta | Microsoft | NVIDIA | Netflix | Oracle | PayPal | Salesforce | ServiceNow | Snap | Uber | Visa | Walmart | Yahoo,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
114,Spiral Matrix,MEDIUM,Array,22,Adobe | Amazon | Apple | Bloomberg | Cisco | DEShaw | Databricks | Goldman Sachs | Google | IBM | Intuit | JP Morgan | Meta | Microsoft | NVIDIA | Netflix | Oracle | PayPal | Uber | Visa | Walmart | Yahoo,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
115,House Robber,MEDIUM,Array,21,Amazon | Apple | ByteDance | Cisco | Citadel | DEShaw | Databricks | Flipkart | Goldman Sachs | Google | Intuit | Linkedln | Meta | Microsoft | Morgan Stanley | NVIDIA | PayPal | Salesforce | ServiceNow | Tesla | Walmart,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
116,Top K Frequent Elements,MEDIUM,Array,21,Adobe | Amazon | Apple | Atlassian | Bloomberg | ByteDance | Cisco | Goldman Sachs | Intuit | JP Morgan | Meta | Netflix | Oracle | PayPal | Salesforce | Snap | Snowflake | Tesla | Uber | Visa | Walmart,https://leetcode.com/problems/top-k-frequent-elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect"
117,Longest Consecutive Sequence,MEDIUM,Array,20,Amazon | Apple | Atlassian | Bloomberg | ByteDance | Cisco | DEShaw | Flipkart | Goldman Sachs | Google | IBM | Meta | Microsoft | Oracle | PayPal | ServiceNow | Swiggy | Uber | Walmart | Yahoo,https://leetcode.com/problems/longest-consecutive-sequence,"Array, Hash Table, Union Find"
118,Subarray Sum Equals K,MEDIUM,Array,20,Amazon | Apple | Bloomberg | ByteDance | Cisco | Flipkart | Goldman Sachs | Google | IBM | JP Morgan | Meta | Microsoft | Morgan Stanley | NVIDIA | PayPal | ServiceNow | Snap | Swiggy | Tesla | Walmart,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum"
119,Combination Sum,MEDIUM,Array,19,Adobe | Amazon | Apple | Bloomberg | ByteDance | Citadel | DEShaw | Google | JP Morgan | Linkedln | Meta | Microsoft | Oracle | Salesforce | ServiceNow | Snap | Uber | Walmart | Yahoo,https://leetcode.com/problems/combination-sum,"Array, Backtracking"
120,Product of Array Except Self,MEDIUM,Array,19,Adobe | Amazon | Apple | Bloomberg | Cisco | Flipkart | Goldman Sachs | IBM | Intuit | Linkedln | Meta | Microsoft | NVIDIA | Oracle | PayPal | Salesforce | Snap | Uber | Walmart,https://leetcode.com/problems/product-of-array-except-self,"Array, Prefix Sum"
121,Word Search,MEDIUM,Array,19,Adobe | Amazon | Apple | Atlassian | Bloomberg | Cisco | Citadel | Goldman Sachs | Meta | Microsoft | Morgan Stanley | Netflix | Oracle | PayPal | Salesforce | Snap | Uber | Visa | Walmart,https://leetcode.com/problems/word-search,"Array, String, Backtracking, Depth-First Search, Matrix"
122,Insert Delete GetRandom O(1),MEDIUM,Array,18,Amazon | Bloomberg | ByteDance | Cisco | Citadel | DEShaw | Goldman Sachs | Google | Intuit | Linkedln | NVIDIA | Netflix | Oracle | Salesforce | Snap | Snowflake | Twitter | Uber,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
123,Meeting Rooms II,MEDIUM,Array,18,Amazon | Apple | Atlassian | Bloomberg | Cisco | Google | IBM | Meta | Microsoft | Morgan Stanley | NVIDIA | Netflix | Oracle | PayPal | Salesforce | ServiceNow | Snap | Snowflake,https://leetcode.com/problems/meeting-rooms-ii,"Array, Two Pointers, Greedy, Sorting, Heap (Priority Queue), Prefix Sum"
124,Sort Colors,MEDIUM,Array,18,Adobe | Amazon | Apple | Bloomberg | DEShaw | Flipkart | Google | Meta | Microsoft | Morgan Stanley | NVIDIA | Oracle | PayPal | Salesforce | Swiggy | Uber | Walmart | Yahoo,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
125,Coin Change,MEDIUM,Array,17,Amazon | Atlassian | BlackRock | Bloomberg | Deolite | Goldman Sachs | Google | Intuit | JP Morgan | NVIDIA | Netflix | Oracle | PayPal | Salesforce | ServiceNow | Uber | Walmart,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
126,Jump Game,MEDIUM,Array,17,Adobe | Amazon | Apple | Bloomberg | Cisco | Flipkart | Goldman Sachs | Google | Meta | Microsoft | Morgan Stanley | Oracle | PayPal | Salesforce | ServiceNow | Uber | Yahoo,https://leetcode.com/problems/jump-game,"Array, Dynamic Programming, Greedy"
127,Next Permutation,MEDIUM,Array,17,Adobe | Amazon | Apple | Bloomberg | ByteDance | DEShaw | Goldman Sachs | Google | IBM | Intuit | JP Morgan | Linkedln | Meta | Microsoft | ServiceNow | Uber | Yahoo,https://leetcode.com/problems/next-permutation,"Array, Two Pointers"
128,Permutations,MEDIUM,Array,17,Adobe | Amazon | Apple | Bloomberg | Cisco | Citadel | Goldman Sachs | Google | JP Morgan | Linkedln | Meta | Microsoft | Oracle | Qualcomm | ServiceNow | Uber | Yahoo,https://leetcode.com/problems/permutations,"Array, Backtracking"
129,Valid Sudoku,MEDIUM,Array,17,Adobe | Amazon | Apple | Bloomberg | Goldman Sachs | Google | Linkedln | Meta | Microsoft | NVIDIA | Oracle | PayPal | Snap | Uber | Visa | Walmart | Yahoo,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
130,Best Time to Buy and Sell Stock II,MEDIUM,Array,16,Amazon | Apple | Bloomberg | Citadel | DEShaw | Goldman Sachs | Google | Intel | JP Morgan | Meta | Microsoft | Qualcomm | Salesforce | Uber | Walmart | Yahoo,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,"Array, Dynamic Programming, Greedy"
131,Daily Temperatures,MEDIUM,Array,16,Amazon | Bloomberg | Flipkart | Goldman Sachs | Google | Intuit | JP Morgan | Microsoft | NVIDIA | Netflix | Palantir | Salesforce | ServiceNow | Swiggy | Visa | Walmart,https://leetcode.com/problems/daily-temperatures,"Array, Stack, Monotonic Stack"
132,Jump Game II,MEDIUM,Array,16,Adobe | Amazon | Apple | Atlassian | Bloomberg | DEShaw | Flipkart | Goldman Sachs | Google | Meta | Microsoft | Oracle | PayPal | Uber | Walmart | Zomato,https://leetcode.com/problems/jump-game-ii,"Array, Dynamic Programming, Greedy"
133,Find First and Last Position of Element in Sorted Array,MEDIUM,Array,15,Adobe | Amazon | Apple | Atlassian | Bloomberg | DEShaw | Google | Linkedln | Meta | Microsoft | Oracle | PayPal | ServiceNow | Uber | Yahoo,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,"Array, Binary Search"
